Codice,Codice Ateco,Primo livello (label ufficiale),Primo livello (label alternativa),Codice2,Codice Ateco 2,Secondo livello (label ufficiale),Secondo livello (label alternativa),Codice3,Codice Ateco 3,Terzo livello (label ufficiale),Terzo livello (label alternativa),Codice4,Codice Ateco 4,Quarto livello (label ufficiale),Quarto livello (label alternativa)
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.1,-,Albergo/Hotel,Alberghi,A.1.1,-,Albergo/Hotel,alberghi,A.1.1.1,-,Albergo/Hotel,alberghi
A,55.10.00,Struttura alberghiera  e paralberghiera,"Esercizio alberghiero e paralberghiero, Alberghiero",A.2,-,Motel,-,A.2.1,-,Motel,-,A.2.1.1,-,Motel,-
A,55.10.00,Struttura alberghiera  e paralberghiera,"Esercizio alberghiero e paralberghiero, Alberghiero",A.3,-,Villaggio albergo,Villaggi Alberghieri,A.3.1,-,Villaggio albergo,Villaggi Alberghieri,A.3.1.1,-,Villaggio albergo,Villaggi Alberghieri
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.4,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere",A.4.1,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere",A.4.1.1,-,Residenza turistico alberghiera ,"RTA, residenze turistiche-alberghiere"
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.5,-,Albergo diffuso,Alberghi diffusi,A.5.1,-,Albergo diffuso,Alberghi diffusi,A.5.1.1,-,Albergo diffuso,Alberghi diffusi
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.6,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere,A.6.1,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere,A.6.1.1,-,Residenza d'epoca alberghiera,residenze turistico-alberghiere
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.7,-,Bed & Breakfast organizzato in forma imprenditoriale,-,A.7.1,-,Bed & Breakfast organizzato in forma imprenditoriale,,A.7.1.1,-,Bed & Breakfast organizzato in forma imprenditoriale,-
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.8,-,Residenza della salute/beauty farm,-,A.8.1,-,Residenza della salute/beauty farm,,A.8.1.1,-,Residenza della salute/beauty farm,-
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.9,-,Albergo meublè o garnì,Albergo Garnì,A.9.1,-,Albergo meublè o garnì,Albergo Garnì,A.9.1.1,-,Albergo meublè o garnì,Albergo Garnì
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.10,-,Dimora storica,Dimore storiche,A.10.1,-,Dimora storica,Dimore storiche,A.10.1.1,-,Dimora storica,Dimore storiche
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.11,-,Centro congressi e conferenze,Centri congressi e conferenze,A.11.1,-,Centro congressi e conferenze,Centri congressi e conferenze,A.11.1.1,-,Centro congressi e conferenze,Centri congressi e conferenze
A,55.10.00,Struttura alberghiera  e paralberghiera ,"Esercizio alberghiero e paralberghiero, Alberghiero",A.12,-,Condhotel,-,A.12.1,-,Condhotel,-,A.12.1.1,-,Condhotel,-
