Primo livello;Secondo Livello;Esempi
1. Evento culturale;1.1 Mostra;
1. Evento culturale;1.2 Presentazione libro;
1. Evento culturale;1.3 Seminario / Conferenza /Workshop / Webinar / Simposio;
1. Evento culturale;1.4 Lettura pubblica;
1. Evento culturale;1.5 Spettacolo teatrale;
1. Evento culturale;1.6 Spettacolo di danza;
1. Evento culturale;1.7 Proiezione cinematografica;
1. Evento culturale;1.8 Celebrazione culturale;celebrazione della nascita di Dante
1. Evento culturale;1.9 Festival;
1. Evento culturale;1.10 Visita guidata;
1. Evento culturale;1.11 Visita libera;
1. Evento culturale;1.12 Corso;
1. Evento culturale;1.13 Rassegna;
1. Evento culturale;1.14 Assegnazione premio;David di Donatello, Premi Letterari, Premio Gornalistico
1. Evento culturale;1.15 Concorso;
2. Evento Sportivo;2.1 Partita;
2. Evento Sportivo;2.2 Corsa;
2. Evento Sportivo;2.3 Gara / Competizione / Torneo ;
2. Evento Sportivo;2.4 Galö sportivo;
2. Evento Sportivo;2.5 Raduno sportivo;
2. Evento Sportivo;2.6 Assegnazione premio sportivo;
3. Evento sociale;3.1 Sagra ;
3. Evento sociale;3.2 Incontro / Dibattito;
3. Evento sociale;3.3 Manifestazione  ;
3. Evento sociale;3.4 Inaugurazione;
3. Evento sociale;3.5 Commemorazione;
3. Evento sociale;3.6 Torneo storico / Palio;
3. Evento sociale;3.7 Celebrazione sociale ;festa della repubblica
3. Evento sociale;3.8 Sfilata;sfilata dei carri carnevaleschi
4. Evento politico;4.1 Summit / G7 / G20;
4. Evento politico;4.2 Forum;
5. Evento religioso;5.1 Festa di un Santo / Festa Patronale;
5. Evento religioso;5.2 Celebrazione Ecumenica;
5. Evento religioso;5.3 Udienza Giubilare;
5. Evento religioso;5.4 Giubileo;
5. Evento religioso;5.5 Dialogo Religioso;
5. Evento religioso;5.6 Processione;
5. Evento religioso;5.7 Lettura religiosa;
5. Evento religioso;5.8 Raduno religioso;Raduno della gioventù cattolica
5. Evento religioso;5.9 Santificazione;
6. Evento di affari-commerciale;6.1 Meeting d'affari;
6. Evento di affari-commerciale;6.2 Convention;
6. Evento di affari-commerciale;6.3 Esposizione / Esposizione Globale;
6. Evento di affari-commerciale;6.4 Fiera /Salone;
6. Evento di affari-commerciale;6.5 Tavola Rotonda;
6. Evento di affari-commerciale;6.6 Mercato / Mercatino;
7. Evento musicale;7.1 Festival musicale;
7. Evento musicale;7.2 Concerto;
7. Evento musicale;7.3 Tour musicale;
7. Evento musicale;7.4 Galö musicale;
7. Evento musicale;7.5 Audizione musicale;
