Classificazione eventi pubblici;Tipo allineamento;Schema.org Eventi
2. Evento Sportivo;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/SportsEvent 
3. Evento sociale;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/SocialEvent
3 Evento sociale;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/ChildrenEvent
6. Evento di affari-commerciale;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/BusinessEvent
7. Evento musicale;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/MusicEvent
1.1 Mostra;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/VisualArtsEvent
1.2 Presentazione Libro;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/LiteraryEvent
1.3 Seminario / Conferenza /Workshop / Webinar / Simposio;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/EducationEvent
1.3 Seminario / Conferenza /Workshop / Webinar / Simposio;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/PublicationEvent
1.5 Spettacolo teatrale;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/TheaterEvent
1.6 Spettacolo di danza;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/DanceEvent
1.7 Proiezione Cinematografica;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/ComedyEvent
1.7 Proiezione Cinematografica;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/ScreeningEvent
1.9 Festival;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/Festival
1,12 Corso;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/CourseInstance
6.1 Meeting d'affati;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/DeliveryEvent
6.4 Fiera / Salone;skos:closeMatch (i due concetti sono sufficientemente simili che possono essere utilizzati in maniera intercambiabile);http://schema.org/ExhibitionEvent
6.6 Mercato / Mercatino;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/SaleEvent
6.6 Mercato / Mercatino;skos:relatedMatch (i due concetti sono relativi l'uno all'altro);http://schema.org/FoodEvent
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
