codice_1_livello,label_1_livello_ENG,codice_2_livello,label_2_livello_ENG,codice_3_livello,label_3_livello_ENG
MULTI,Multidisciplary,10,Multidisciplinary,1000,Multidisciplinary
HS,Health Sciences,27,Medicine,2700,General Medicine
HS,Health Sciences,27,Medicine,2701,Medicine (miscellaneous)
HS,Health Sciences,27,Medicine,2702,Anatomy
HS,Health Sciences,27,Medicine,2703,Anesthesiology and Pain Medicine
HS,Health Sciences,27,Medicine,2704,"Biochemistry, medical"
HS,Health Sciences,27,Medicine,2705,Cardiology and Cardiovascular Medicine
HS,Health Sciences,27,Medicine,2706,Critical Care and Intensive Care Medicine
HS,Health Sciences,27,Medicine,2707,Complementary and alternative medicine
HS,Health Sciences,27,Medicine,2708,Dermatology
HS,Health Sciences,27,Medicine,2709,Drug guides
HS,Health Sciences,27,Medicine,2710,Embryology
HS,Health Sciences,27,Medicine,2711,Emergency Medicine
HS,Health Sciences,27,Medicine,2712,"Endocrinology, Diabetes and Metabolism"
HS,Health Sciences,27,Medicine,2713,Epidemiology
HS,Health Sciences,27,Medicine,2714,Family Practice
HS,Health Sciences,27,Medicine,2715,Gastroenterology
HS,Health Sciences,27,Medicine,2716,Genetics(clinical)
HS,Health Sciences,27,Medicine,2717,Geriatrics and Gerontology
HS,Health Sciences,27,Medicine,2718,Health Informatics
HS,Health Sciences,27,Medicine,2719,Health Policy
HS,Health Sciences,27,Medicine,2720,Hematology
HS,Health Sciences,27,Medicine,2721,Hepatology
HS,Health Sciences,27,Medicine,2722,Histology
HS,Health Sciences,27,Medicine,2723,Immunology and Allergy
HS,Health Sciences,27,Medicine,2724,Internal Medicine
HS,Health Sciences,27,Medicine,2725,Infectious Diseases
HS,Health Sciences,27,Medicine,2726,Microbiology (medical)
HS,Health Sciences,27,Medicine,2727,Nephrology
HS,Health Sciences,27,Medicine,2728,Clinical Neurology
HS,Health Sciences,27,Medicine,2729,Obstetrics and Gynaecology
HS,Health Sciences,27,Medicine,2730,Oncology
HS,Health Sciences,27,Medicine,2731,Ophthalmology
HS,Health Sciences,27,Medicine,2732,Orthopedics and Sports Medicine
HS,Health Sciences,27,Medicine,2733,Otorhinolaryngology
HS,Health Sciences,27,Medicine,2734,Pathology and Forensic Medicine
HS,Health Sciences,27,Medicine,2735,"Pediatrics, Perinatology, and Child Health"
HS,Health Sciences,27,Medicine,2736,Pharmacology (medical)
HS,Health Sciences,27,Medicine,2737,Physiology (medical)
HS,Health Sciences,27,Medicine,2738,Psychiatry and Mental health
