codice_1_livello,label_1_livello_ENG,codice_2_livello,label_2_livello_ENG,definizione_ENG,codice_3_livello,label_3_livello_ENG,definizione_3_livello_ENG
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_1,Logic and foundations,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_2,Algebra,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_3,Number theory,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_4,Algebraic and complex geometry,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_5,"Lie groups, Lie algebras",
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_6,Geometry and Global Analysis,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_7,Topology,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_8,Analysis,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_9,Operator algebras and functional analysis,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_10,ODE and dynamical systems,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_11,Theoretical aspects of partial differential equations,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_12,Mathematical physics,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_13,Probability,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_14,Statistics,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_15,Discrete mathematics and combinatorics,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_16,Mathematical aspects of computer science,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_17,Numerical analysis,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_18,Scientific computing and data processing,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_19,Control theory and optimisation,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_20,Application of mathematics in sciences,
PE,Physical Sciences and Engineering,PE1,Mathematics,"All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics",PE1_21,Application of mathematics in industry and society,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_1,Fundamental interactions and fields,
PE,Physical Sciences and Engineering,PE2,Fundamental Constituents of Matter,"Particle, nuclear, plasma, atomic, molecular, gas, and optical physics",PE2_2,Particle physics,
