"Codice Ateco 2007",Descrizione,Aggiornamento
A,"AGRICOLTURA, SILVICOLTURA E PESCA",
01,"COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI",
01.1,COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI,
01.11,"Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi",
01.11.1,Coltivazione di cereali (escluso il riso),
01.11.10,Coltivazione di cereali (escluso il riso),
01.11.2,Coltivazione di semi oleosi,
01.11.20,Coltivazione di semi oleosi,
01.11.3,Coltivazione di legumi da granella,
01.11.30,Coltivazione di legumi da granella,
01.11.4,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",
01.11.40,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",
01.12,Coltivazione di riso,
01.12.0,Coltivazione di riso,
01.12.00,Coltivazione di riso,
01.13,"Coltivazione di ortaggi e meloni, radici e tuberi",
01.13.1,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)",
01.13.10,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)",
01.13.2,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)",
01.13.21,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate)",Sostituisce 01.13.20 in Ateco 2007 - aggiornamento 2021
01.13.29,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate)", Sostituisce 01.13.20 in Ateco 2007 - aggiornamento 2021
01.13.3,Coltivazione di barbabietola da zucchero,
01.13.30,Coltivazione di barbabietola da zucchero,
01.13.4,Coltivazione di patate,
01.13.40,Coltivazione di patate,
01.14,Coltivazione di canna da zucchero,
01.14.0,Coltivazione di canna da zucchero,
01.14.00,Coltivazione di canna da zucchero,
01.15,Coltivazione di tabacco,
01.15.0,Coltivazione di tabacco,
01.15.00,Coltivazione di tabacco,
01.16,Coltivazione di piante tessili,
01.16.0,Coltivazione di piante per la preparazione di fibre tessili,
01.16.00,Coltivazione di piante per la preparazione di fibre tessili,
01.19,Floricoltura e coltivazione di altre colture non permanenti,
01.19.1,Coltivazione di fiori in piena aria,
01.19.10,Coltivazione di fiori in piena aria,
01.19.2,Coltivazione di fiori in colture protette,
01.19.21,Coltivazione di fiori in colture protette fuori suolo,Sostituisce 01.19.20 in Ateco 2007 - aggiornamento 2021
01.19.29,Coltivazione di fiori in colture protette ad esclusione delle colture fuori suolo,Sostituisce 01.19.20 in Ateco 2007 - aggiornamento 2021
01.19.9,Coltivazione di piante da foraggio e di altre colture non permanenti,
01.19.90,Coltivazione di piante da foraggio e di altre colture non permanenti,
01.2,COLTIVAZIONE DI COLTURE PERMANENTI,
01.21,Coltivazione di uva,
01.21.0,Coltivazione di uva,
01.21.00,Coltivazione di uva,
01.22,Coltivazione di frutta di origine tropicale e subtropicale,
01.22.0,Coltivazione di frutta di origine tropicale e subtropicale,
01.22.00,Coltivazione di frutta di origine tropicale e subtropicale,
01.23,Coltivazione di agrumi,
01.23.0,Coltivazione di agrumi,
01.23.00,Coltivazione di agrumi,
01.24,Coltivazione di pomacee e frutta a nocciolo,
01.24.0,Coltivazione di pomacee e frutta a nocciolo,
01.24.00,Coltivazione di pomacee e frutta a nocciolo,
01.25,"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio",
01.25.0,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio",
01.25.00,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio",
01.26,Coltivazione di frutti oleosi,
01.26.0,Coltivazione di frutti oleosi,
01.26.00,Coltivazione di frutti oleosi,
01.27,Coltivazione di piante per la produzione di bevande,
01.27.0,Coltivazione di piante per la produzione di bevande,
01.27.00,Coltivazione di piante per la produzione di bevande,
01.28,"Coltivazione di spezie, piante aromatiche e farmaceutiche",
01.28.0,"Coltivazione di spezie, piante aromatiche e farmaceutiche",
01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche",
01.29,Coltivazione di altre colture permanenti (inclusi alberi di Natale),
01.29.0,Coltivazione di altre colture permanenti (inclusi alberi di Natale),
01.29.00,Coltivazione di altre colture permanenti (inclusi alberi di Natale),
01.3,RIPRODUZIONE DELLE PIANTE,
01.30,Riproduzione delle piante,
01.30.0,Riproduzione delle piante,
01.30.00,Riproduzione delle piante,
01.4,ALLEVAMENTO DI ANIMALI,
01.41,Allevamento di bovini da latte,
01.41.0,"Allevamento di bovini e bufale da latte, produzione di latte crudo",
01.41.00,"Allevamento di bovini e bufale da latte, produzione di latte crudo",
01.42,Allevamento di altri bovini e di bufalini,
01.42.0,Allevamento di bovini e bufalini da carne,
01.42.00,Allevamento di bovini e bufalini da carne,
01.43,Allevamento di cavalli e altri equini,
01.43.0,Allevamento di cavalli e altri equini,
01.43.00,Allevamento di cavalli e altri equini,
01.44,Allevamento di cammelli e camelidi,
01.44.0,Allevamento di cammelli e camelidi,
01.44.00,Allevamento di cammelli e camelidi,
01.45,Allevamento di ovini e caprini,
01.45.0,Allevamento di ovini e caprini,
01.45.00,Allevamento di ovini e caprini,
01.46,Allevamento di suini,
01.46.0,Allevamento di suini,
01.46.00,Allevamento di suini,
01.47,Allevamento di pollame,
01.47.0,Allevamento di pollame,
01.47.00,Allevamento di pollame,
01.49,Allevamento di altri animali,
01.49.1,Allevamento di conigli,
01.49.10,Allevamento di conigli,
01.49.2,Allevamento di animali da pelliccia,
01.49.20,Allevamento di animali da pelliccia,
01.49.3,Apicoltura,
01.49.30,Apicoltura,
01.49.4,Bachicoltura,
01.49.40,Bachicoltura,
01.49.9,Allevamento di altri animali nca,
01.49.90,Allevamento di altri animali nca,
01.5,COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA,
01.50,Coltivazioni agricole associate all'allevamento di animali: attività mista,
