codice_1_livello,label_ITA_1_livello,codice_2_livello,label_ITA_2_livello,codice_3_livello,label_ITA_3_livello
1.0,Forme disciplinate dal diretto privato,1.1,"Imprenditore individuale, libero professionista e lavoratore autonomo",1.1.10,Imprenditore individuale agricolo
1.0,Forme disciplinate dal diretto privato,1.1,"Imprenditore individuale, libero professionista e lavoratore autonomo",1.1.20,Imprenditore individuale non agricolo
1.0,Forme disciplinate dal diretto privato,1.1,"Imprenditore individuale, libero professionista e lavoratore autonomo",1.1.30,Libero professionista
1.0,Forme disciplinate dal diretto privato,1.1,"Imprenditore individuale, libero professionista e lavoratore autonomo",1.1.40,Lavoratore autonomo
1.0,Forme disciplinate dal diretto privato,1.2,Società di persone,1.2.10,Società semplice
1.0,Forme disciplinate dal diretto privato,1.2,Società di persone,1.2.20,Società in nome collettivo
1.0,Forme disciplinate dal diretto privato,1.2,Società di persone,1.2.30,Società in accomandita semplice
1.0,Forme disciplinate dal diretto privato,1.2,Società di persone,1.2.40,Studio associato e società di professionisti
1.0,Forme disciplinate dal diretto privato,1.2,Società di persone,1.2.50,"Società di fatto o irregolare, comunione ereditaria"
1.0,Forme disciplinate dal diretto privato,1.3,Società di capitali,1.3.10,Società per azioni
1.0,Forme disciplinate dal diretto privato,1.3,Società di capitali,1.3.20,Società a responsabilità limitata
1.0,Forme disciplinate dal diretto privato,1.3,Società di capitali,1.3.30,Società a responsabilità limitata con un unico socio
1.0,Forme disciplinate dal diretto privato,1.3,Società di capitali,1.3.40,Società in accomandita per azioni
1.0,Forme disciplinate dal diretto privato,1.3,Società di capitali,1.3.50,Società per azioni con unico socio
1.0,Forme disciplinate dal diretto privato,1.4,Società Cooperativa,1.4.10,Società cooperativa a mutualità prevalente
1.0,Forme disciplinate dal diretto privato,1.4,Società Cooperativa,1.4.20,Società cooperativa diversa
1.0,Forme disciplinate dal diretto privato,1.4,Società Cooperativa,1.4.30,Società cooperativa sociale
1.0,Forme disciplinate dal diretto privato,1.4,Società Cooperativa,1.4.40,Società di mutua assicurazione
1.0,Forme disciplinate dal diretto privato,1.5,Consorzio di diritto privato ed altre forme di cooperazione fra imprese,1.5.10,Consorzio di diritto privato
1.0,Forme disciplinate dal diretto privato,1.5,Consorzio di diritto privato ed altre forme di cooperazione fra imprese,1.5.20,Società consortile
1.0,Forme disciplinate dal diretto privato,1.5,Consorzio di diritto privato ed altre forme di cooperazione fra imprese,1.5.30,Associazione o raggruppamento temporaneo di imprese
1.0,Forme disciplinate dal diretto privato,1.5,Consorzio di diritto privato ed altre forme di cooperazione fra imprese,1.5.40,Gruppo europeo di interesse economico
1.0,Forme disciplinate dal diretto privato,1.6,"Ente pubblico economico, azienda speciale e azienda pubblica di servizi",1.6.10,Ente pubblico economico
1.0,Forme disciplinate dal diretto privato,1.6,"Ente pubblico economico, azienda speciale e azienda pubblica di servizi",1.6.20,Azienda speciale ai sensi del t.u. 267/2000
1.0,Forme disciplinate dal diretto privato,1.6,"Ente pubblico economico, azienda speciale e azienda pubblica di servizi",1.6.30,Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.10,Associazione riconosciuta
1.0,Forme disciplinate dal diretto privato,1.7,Ente privato con personalità giuridica,1.7.20,Fondazione (esclusa fondazione bancaria)
