codice_1_livello,label_ITA_1_livello,label_ENG_1_livello,label_DEU_1_livello
1.0,Avvio impresa,Starting a company,Unternehmensgründung
2.0,Avvio nuova attività professionale,Starting a new activity,Neue berufliche Tätigkeit aufnehmen
3.0,Richiesta licenze/permessi/certificati,"Applying for licenses, permits and certificates","Beantragung von Lizenzen, Genehmigungen und Zertifikaten"
4.0,Registrazione impresa transfrontaliera,Registering a cross-border business,Registrierung eines grenzüberschreitenden Unternehmens
5.0,Avvio/registrazione filiale,Starting/Registering a branch,Starten/Registrieren einer Filiale
6.0,Finanziamento impresa,Financing a company,Finanzierung eines Unternehmens
7.0,Gestione personale,Staffing,Personalbesetzung
8.0,"Pagamento tasse, iva e dogane",Paying taxes (VAT and customs),Zahlung von Steuern (MwSt. und Zölle)
9.0,Notifiche autorità,Reporting and notifying authorities,Melde- und Notifizierungsbehörden
10.0,Chiusura impresa e attività professionale,Closing a company/a professional activity,Schließung eines Unternehmens / einer beruflichen Tätigkeit
11.0,Chiusura filiale,Closing a branch,Filiale schließen
12.0,Ristrutturazione impresa,Restructuring company,Umstrukturierung eines Unternehmens
13.0,Vendita impresa,Selling company,Verkaufende Gesellschaft
14.0,Bancarotta,Bankruptcy,Bankrott
15.0,Partecipazione ad appalti pubblici nazionali e trasfrontalieri,Participating in public procurement (national and cross-border),Teilnahme am öffentlichen Beschaffungswesen (national und grenzüberschreitend)
