Column 1,Column 2,Column 3,Column 4,Column 5
codice_1_livello,label_ITA_1_livello,label_ENG_1_livello,definizione_ITA,definizione_ENG
0.0,Metropolitana leggera-Tram,Light rail-tram,Qualsiasi sistema di metropolitana leggera o di livello stradale all'interno di un'area metropolitana.,Any light rail or street level system within a metropolitan area.
1.0,Metropolitana,Metro-Subway,Qualsiasi sistema ferroviario sotterraneo all'interno di un'area metropolitana.,Any underground rail system within a metropolitan area.
2.0,Ferrovia,Rail,Sistema ferroviario utilizzato per viaggi interurbani o a lunga distanza. ,Used for intercity or long-distance travel.
3.0,Autobus,Bus,Sistema utilizzato per linee di autobus a breve e lunga percorrenza. ,Used for short- and long-distance bus routes
4.0,Traghetto,Ferry,Sistema utilizzato per il servizio di navigazione a breve e lunga distanza,Used for short- and long-distance boat service.
5.0,Funivia,Cable car,Sistema utilizzato per funivie  a livello stradale dove la fune scorre sotto l'auto.,Used for street-level cable cars where the cable runs beneath the car.
6.0,Funivia sospesa,Suspended cable car,Sistema utilizzata per le funivie aeree dove l'auto è sospesa alla fune,Typically used for aerial cable cars where the car is suspended from the cable.
7.0,Funicolare,Funicular,Qualsiasi sistema di binari progettato per pendii ripidi,Any rail system designed for steep inclines
8.0,Bicicletta,Bike,,
9.0,Piedi,Walk,,
10.0,Cavallo,Horseback ,,
11.0,Automobile,Car,,
12.0,Camion,Truck,,
13.0,Motocicletta,Motorbike,,
