"CODICE_REGIONE","CODICE_PROVINCIA","SIGLA_AUTOMOBILISTICA","ID_COMUNE","CODICE_COMUNE","LABEL_COMUNE_IT","LABEL_COMUNE_DE","DATA_INIZIO_VALIDITA","DATA_FINE_VALIDITA"
"00","001","TO","001001-(1861-03-17)","001001","AGLIÈ","","17-03-1861","12-01-1927"
"00","007","AO","007805-(1927-01-12)","007805","AGLIÈ","","12-01-1927","15-06-1929"
"00","007","AO","007805-(1929-06-15)","007805","AGLIÈ","","15-06-1929","05-10-1945"
"00","007","AO","007805-(1929-06-15)","007805","AGLIÈ","","15-06-1929","05-10-1945"
"00","001","TO","001001-(1945-10-05)","001001","AGLIÈ","","05-10-1945","09-01-1947"
"00","001","TO","001001-(1947-01-09)","001001","AGLIÈ","","09-01-1947","10-01-1947"
"00","001","TO","001001-(1947-01-10)","001001","AGLIÈ","","10-01-1947","01-01-1948"
"01","001","TO","001001-(1948-01-01)","001001","AGLIÈ","","01-01-1948","01-01-2015"
"01","201","TO","001001-(2015-01-01)","001001","AGLIÈ","","01-01-2015","31-12-9999"
"00","001","TO","001002-(1861-03-17)","001002","AIRASCA","","17-03-1861","01-09-1893"
"00","001","TO","001002-(1893-09-01)","001002","AIRASCA","","01-09-1893","01-01-1948"
"01","001","TO","001002-(1948-01-01)","001002","AIRASCA","","01-01-1948","29-09-1960"
"01","001","TO","001002-(1960-09-29)","001002","AIRASCA","","29-09-1960","01-01-2015"
"01","201","TO","001002-(2015-01-01)","001002","AIRASCA","","01-01-2015","31-12-9999"
"00","001","TO","001003-(1861-03-17)","001003","ALA","","17-03-1861","11-03-1864"
"00","001","TO","001003-(1864-03-11)","001003","ALA DI STURA","","11-03-1864","12-05-1928"
"00","001","TO","001003-(1928-05-12)","001003","ALA DI STURA","","12-05-1928","01-01-1948"
"01","001","TO","001003-(1948-01-01)","001003","ALA DI STURA","","01-01-1948","01-01-2015"
"01","201","TO","001003-(2015-01-01)","001003","ALA DI STURA","","01-01-2015","31-12-9999"
"00","001","TO","001004-(1861-03-17)","001004","ALBIANO","","17-03-1861","04-02-1863"
"00","001","TO","001004-(1863-02-04)","001004","ALBIANO D'IVREA","","04-02-1863","12-01-1927"
"00","007","AO","007806-(1927-01-12)","007806","ALBIANO D'IVREA","","12-01-1927","05-10-1945"
"00","001","TO","001004-(1945-10-05)","001004","ALBIANO D'IVREA","","05-10-1945","01-01-1948"
"01","001","TO","001004-(1948-01-01)","001004","ALBIANO D'IVREA","","01-01-1948","01-01-2015"
"01","201","TO","001004-(2015-01-01)","001004","ALBIANO D'IVREA","","01-01-2015","31-12-9999"
"00","001","TO","001005-(1861-03-17)","001005","ALICE SUPERIORE","","17-03-1861","12-01-1927"
"00","007","AO","007807-(1927-01-12)","007807","ALICE SUPERIORE","","12-01-1927","14-05-1929"
"00","007","AO","007807-(1929-05-14)","007807","ALICE SUPERIORE","","14-05-1929","05-10-1945"
"00","007","AO","007807-(1929-05-14)","007807","ALICE SUPERIORE","","14-05-1929","05-10-1945"
"00","001","TO","001005-(1945-10-05)","001005","ALICE SUPERIORE","","05-10-1945","10-01-1947"
"00","001","TO","001005-(1947-01-10)","001005","ALICE SUPERIORE","","10-01-1947","01-01-1948"
"01","001","TO","001005-(1948-01-01)","001005","ALICE SUPERIORE","","01-01-1948","01-01-2015"
"01","201","TO","001005-(2015-01-01)","001005","ALICE SUPERIORE","","01-01-2015","01-01-2019"
"01","201","TO","001005-(2019-01-01)","001005","ALICE SUPERIORE","","01-01-2019","01-01-2019"
"00","001","TO","001006-(1861-03-17)","001006","ALMESE","","17-03-1861","06-03-1928"
"00","001","TO","001006-(1928-03-06)","001006","ALMESE","","06-03-1928","01-01-1948"
"00","001","TO","001006-(1928-03-06)","001006","ALMESE","","06-03-1928","01-01-1948"
"01","001","TO","001006-(1948-01-01)","001006","ALMESE","","01-01-1948","10-07-1955"
"01","001","TO","001006-(1955-07-10)","001006","ALMESE","","10-07-1955","01-01-2015"
"01","201","TO","001006-(2015-01-01)","001006","ALMESE","","01-01-2015","31-12-9999"
"00","001","TO","001007-(1861-03-17)","001007","ALPETTE","","17-03-1861","12-01-1927"
"00","007","AO","007808-(1927-01-12)","007808","ALPETTE","","12-01-1927","05-10-1945"
"00","001","TO","001007-(1945-10-05)","001007","ALPETTE","","05-10-1945","01-01-1948"
"01","001","TO","001007-(1948-01-01)","001007","ALPETTE","","01-01-1948","01-01-2015"
"01","201","TO","001007-(2015-01-01)","001007","ALPETTE","","01-01-2015","31-12-9999"
"00","001","TO","001008-(1861-03-17)","001008","ALPIGNANO","","17-03-1861","01-01-1948"
"01","001","TO","001008-(1948-01-01)","001008","ALPIGNANO","","01-01-1948","01-01-2015"
"01","201","TO","001008-(2015-01-01)","001008","ALPIGNANO","","01-01-2015","31-12-9999"
"00","001","TO","001009-(1861-03-17)","001009","ANDEZENO","","17-03-1861","01-01-1948"
"01","001","TO","001009-(1948-01-01)","001009","ANDEZENO","","01-01-1948","01-01-2015"
"01","201","TO","001009-(2015-01-01)","001009","ANDEZENO","","01-01-2015","31-12-9999"
"00","001","TO","001010-(1861-03-17)","001010","ANDRATE","","17-03-1861","12-01-1927"
"00","007","AO","007809-(1927-01-12)","007809","ANDRATE","","12-01-1927","02-03-1929"
"00","007","AO","007809-(1929-03-02)","007809","ANDRATE","","02-03-1929","05-10-1945"
"00","001","TO","001010-(1945-10-05)","001010","ANDRATE","","05-10-1945","01-01-1948"
"01","001","TO","001010-(1948-01-01)","001010","ANDRATE","","01-01-1948","15-07-1954"
