"uri_1_livello","codice_1_livello","label_1_livello_it","label_1_livello_en","uri_2_livello","codice_2_livello","label_2_livello_it","label_2_livello_en"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100245","5606","5606 politica agricola","5606 agricultural policy"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100246","5611","5611 produzione e strutture agricole","5611 agricultural structures and production"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100247","5616","5616 orientamento produttivo agricolo","5616 farming systems"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100248","5621","5621 coltivazione di terreni agricoli","5621 cultivation of agricultural land"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100249","5626","5626 mezzo di produzione agricola","5626 means of agricultural production"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100250","5631","5631 attività agricola","5631 agricultural activity"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100251","5636","5636 foresta","5636 forestry"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100252","5641","5641 pesca","5641 fishieries"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100253","6006","6006 prodotto vegetale","6006 plant product"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100254","6011","6011 prodotto animale","6011 animal product"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100255","6016","6016 prodotto agricolo trasformato","6016 processed agricultural produce"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100256","6021","6021 bevande e zucchero","6021 beverages and sugar"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100257","6026","6026 prodotto alimentare","6026 foodstuff"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100258","6031","6031 industria agro-alimentarea","6031 agri-foodstuffs"
"http://publications.europa.eu/resource/authority/data-theme/AGRI","AGRI","Agricoltura, pesca, silvicoltura e prodotti alimentari","Agriculture, fisheries, forestry and food","http://eurovoc.europa.eu/100259","6036","6036 tecnologia alimentare","6036 food technology"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100227","4011","4011 tipo d'impresa","4011 business classification"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100185","1606","1606 politica economica","1606 economic policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100186","1611","1611 crescita economica","1611 economic conditions"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100187","1616","1616 regione e politica regionale","1616 regions and regional policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100188","1621","1621 struttura economica","1621 economic structure"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100189","1626","1626 contabilità nazionale","1626 national accounts"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100190","1631","1631 analisi economica","1631 economic analysis"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100191","2006","2006 politica commerciale","2006 trade policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100192","2011","2011 politica tariffaria","2011 tariff policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100193","2016","2016 scambi economici","2016 trade"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100194","2021","2021 commercio internazionale","2021 international trade"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100195","2026","2026 consumo","2026 consumption"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100196","2031","2031 commercializzazione","2031 marketing"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100197","2036","2036 distribuzione commerciale","2036 distributive trades"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100198","2406","2406 relazioni monetarie","2406 monetary relations"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100199","2411","2411 economia monetaria","2411 monetary economics"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100200","2416","2416 istituti finanziari e di credito","2416 financial institutions and credit"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100201","2421","2421 libera circolazione dei capitali","2421 free movement of capital"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100202","2426","2426 investimenti e finanziamenti","2426 financing and investment"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100203","2431","2431 assicurazioni","2431 insurance"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100204","2436","2436 finanze pubbliche e politica di bilancio","2436 public finance and budget policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100205","2441","2441 bilancio","2441 budget"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100206","2446","2446 fiscalità","2446 taxation"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100226","4006","4006 organizzazione aziendale","4006 business organisation"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100228","4016","4016 forma giuridica di società","4016 legal form of organisations"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100229","4021","4021 gestione amministrativa","4021 management"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100230","4026","4026 gestione contabile","4026 accounting"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100231","4031","4031 concorrenza","4031 competition"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100268","6806","6806 politiche e strutture industriali","6806 industrial structures and policy"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100269","6811","6811 chimica","6811 chemistry"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100270","6816","6816 metallurgia e siderurgia","6816 iron, steel and other metal industries"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100271","6821","6821 industria meccanica","6821 mechanical engineering"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100272","6826","6826 elettronica ed elettrotecnica","6826 electronics and electrical engineering"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100273","6831","6831 edilizia e lavori pubblici","6831 building and public works"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100274","6836","6836 industria del legno","6836 wood industry"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100275","6841","6841 industria del cuoio e dei prodotti tessili","6841 leather and textile industries"
"http://publications.europa.eu/resource/authority/data-theme/ECON","ECON","Economia e finanze","Economy and finance","http://eurovoc.europa.eu/100276","6846","6846 industrie varie","6846 miscellaneous industries"
"http://publications.europa.eu/resource/authority/data-theme/EDUC","EDUC","Istruzione, cultura e sport","Education, culture and spor","http://eurovoc.europa.eu/100217","3206","3206 istruzione","3206 education"
"http://publications.europa.eu/resource/authority/data-theme/EDUC","EDUC","Istruzione, cultura e sport","Education, culture and spor","http://eurovoc.europa.eu/100213","2831","2831 cultura e religione","2831 culture and religion"
"http://publications.europa.eu/resource/authority/data-theme/EDUC","EDUC","Istruzione, cultura e sport","Education, culture and spor","http://eurovoc.europa.eu/100212","2826","2826 vita sociale","2826 social affairs"
